"ID";"Leeftijd";"Marges";"WijkenEnBuurten";"Perioden";"Gemeentenaam_1";"SoortRegio_2";"Codering_3";"ErvarenGezondheidGoedZeerGoed_4";"VoldoetAanBeweegrichtlijn_5";"WekelijkseSporters_6";"Ondergewicht_7";"NormaalGewicht_8";"Overgewicht_9";"ErnstigOvergewicht_10";"Roker_11";"EenOfMeerLangdurigeAandoeningen_16";"BeperktVanwegeGezondheid_17";"ErnstigBeperktVanwegeGezondheid_18";"LangdurigeZiekteEnBeperkt_19";"BeperkingInBewegen_23";"LopenEnOfFietsenNaarSchoolOfWerk_34";"LopenNaarSchoolOfWerk_35";"FietsenNaarSchoolOfWerk_36"
"2";"20300";"MW00000";"NL01      ";"2020JJ00";"Nederland                               ";"Land      ";"NL01                ";"78.4";"49.9";"48.9";"2";"47.4";"50.8";"15.6";"17.9";"32.5";"31";"5.1";"29";"9.6";;;
"5";"20300";"MW00000";"GM1680    ";"2020JJ00";"Aa en Hunze                             ";"Gemeente  ";"GM1680              ";"80.5";"47.3";"45.4";"1.7";"45";"53.9";"15.8";"15";"33.8";"32.3";"4.9";"30.7";"8.9";;;
"8";"20300";"MW00000";"WK168000  ";"2020JJ00";"Aa en Hunze                             ";"Wijk      ";"WK168000            ";"81.4";"47.7";"47.8";"1.6";"46.7";"53";"15.2";"13.6";"34.3";"31.6";"4.6";"30";"8.8";;;
"11";"20300";"MW00000";"BU16800000";"2020JJ00";"Aa en Hunze                             ";"Buurt     ";"BU16800000          ";"81.3";"47.5";"47.8";"1.6";"46.4";"53.2";"15.3";"13.6";"34.4";"31.8";"4.7";"30.3";"9";;;
"14";"20300";"MW00000";"BU16800009";"2020JJ00";"Aa en Hunze                             ";"Buurt     ";"BU16800009          ";"84.4";"50";"48.3";"1.6";"51.9";"49.1";"12.4";"12.5";"32.3";"26.9";"3.2";"25.3";"4.7";;;
"17";"20300";"MW00000";"WK168001  ";"2020JJ00";"Aa en Hunze                             ";"Wijk      ";"WK168001            ";"81.8";"49.1";"45.2";"1.8";"45.3";"54.1";"15.2";"15.4";"31.9";"30.6";"4.3";"28.9";"6.9";;;
"20";"20300";"MW00000";"BU16800100";"2020JJ00";"Aa en Hunze                             ";"Buurt     ";"BU16800100          ";"81.8";"49.2";"45.4";"1.8";"44.9";"54.4";"15.4";"15.7";"31.6";"30.3";"4.3";"28.7";"6.9";;;
"23";"20300";"MW00000";"BU16800109";"2020JJ00";"Aa en Hunze                             ";"Buurt     ";"BU16800109          ";"82.1";"49";"43.8";"1.7";"47.4";"52.7";"14.3";"13.1";"34.3";"32.3";"4.7";"30.7";"6.6";;;
"26";"20300";"MW00000";"WK168002  ";"2020JJ00";"Aa en Hunze                             ";"Wijk      ";"WK168002            ";"82.3";"46.8";"47.2";"1.6";"47.3";"50.5";"14.5";"13.3";"33.2";"31.9";"4.6";"30";"8";;;
"29";"20300";"MW00000";"BU16800200";"2020JJ00";"Aa en Hunze                             ";"Buurt     ";"BU16800200          ";"81.9";"46.8";"46.2";"1.5";"46.6";"51.4";"14.8";"13.3";"33.6";"32.8";"4.7";"30.8";"8.6";;;
"32";"20300";"MW00000";"BU16800209";"2020JJ00";"Aa en Hunze                             ";"Buurt     ";"BU16800209          ";"84.4";"46.5";"51.8";"2";"50.9";"46.4";"12.9";"13.4";"31.4";"27.5";"4";"26";"5.4";;;
"35";"20300";"MW00000";"WK168003  ";"2020JJ00";"Aa en Hunze                             ";"Wijk      ";"WK168003            ";"82.8";"52.5";"49.3";"1.5";"51.1";"49.5";"12.8";"13.7";"34.6";"31";"4.1";"29";"6.6";;;
"38";"20300";"MW00000";"BU16800300";"2020JJ00";"Aa en Hunze                             ";"Buurt     ";"BU16800300          ";"82.6";"52.3";"49.6";"1.5";"51.4";"49.1";"12.9";"13.9";"34.6";"31.3";"4.2";"29.3";"6.7";;;
"41";"20300";"MW00000";"BU16800309";"2020JJ00";"Aa en Hunze                             ";"Buurt     ";"BU16800309          ";"88.5";"58.1";"39.1";"1.7";"38.8";"62.7";"10";"8.4";"33.1";"22.3";"2.2";"20.7";"3.4";;;
"44";"20300";"MW00000";"WK168004  ";"2020JJ00";"Aa en Hunze                             ";"Wijk      ";"WK168004            ";"84.1";"48.7";"48";"1.8";"49.7";"50.5";"13";"11.9";"30.6";"28.7";"3.6";"27";"6.4";;;
"47";"20300";"MW00000";"BU16800400";"2020JJ00";"Aa en Hunze                             ";"Buurt     ";"BU16800400          ";"83.7";"48.4";"47.9";"1.8";"49.8";"50.3";"13.1";"12.1";"30.9";"29.1";"3.7";"27.4";"6.7";;;
"50";"20300";"MW00000";"BU16800409";"2020JJ00";"Aa en Hunze                             ";"Buurt     ";"BU16800409          ";"87.4";"51.1";"48.8";"1.3";"48.9";"52";"12.3";"10.1";"27.3";"24.8";"2.4";"23";"3.6";;;
"53";"20300";"MW00000";"WK168005  ";"2020JJ00";"Aa en Hunze                             ";"Wijk      ";"WK168005            ";"82.4";"51.4";"51.4";"1.5";"51.5";"47.7";"12.1";"11.2";"35.9";"31.9";"4.2";"30";"7.7";;;
"56";"20300";"MW00000";"BU16800500";"2020JJ00";"Aa en Hunze                             ";"Buurt     ";"BU16800500          ";"82.4";"51.7";"51.6";"1.4";"51.5";"47.7";"12.2";"11.2";"35.8";"31.9";"4.1";"30";"7.6";;;
"59";"20300";"MW00000";"BU16800509";"2020JJ00";"Aa en Hunze                             ";"Buurt     ";"BU16800509          ";"81.8";"47.6";"50.4";"1.8";"51.8";"46.8";"11.3";"11.9";"37";"31.7";"4.5";"29.8";"8.4";;;
"62";"20300";"MW00000";"WK168006  ";"2020JJ00";"Aa en Hunze                             ";"Wijk      ";"WK168006            ";"84.3";"47";"46.7";"1.5";"46";"54.3";"14.3";"14";"31";"27.1";"3.6";"25.7";"5.5";;;
"65";"20300";"MW00000";"BU16800600";"2020JJ00";"Aa en Hunze                             ";"Buurt     ";"BU16800600          ";"84.4";"46.9";"46.8";"1.6";"46.3";"54.1";"14.2";"14";"30.9";"27";"3.6";"25.6";"5.5";;;
"68";"20300";"MW00000";"BU16800609";"2020JJ00";"Aa en Hunze                             ";"Buurt     ";"BU16800609          ";"80.8";"51.2";"42.8";"1.1";"38";"57.9";"16.1";"12.5";"35.2";"31.3";"3.1";"29.5";"4.6";;;
"71";"20300";"MW00000";"WK168007  ";"2020JJ00";"Aa en Hunze                             ";"Wijk      ";"WK168007            ";"81.9";"48.7";"45.9";"1.9";"47.4";"53.9";"16.8";"16.1";"32.8";"29.9";"3.7";"28.1";"5.8";;;
"74";"20300";"MW00000";"BU16800700";"2020JJ00";"Aa en Hunze                             ";"Buurt     ";"BU16800700          ";"81.9";"48.7";"45.9";"1.9";"47.4";"53.9";"16.8";"16.1";"32.8";"29.9";"3.7";"28.1";"5.8";;;
"77";"20300";"MW00000";"BU16800709";"2020JJ00";"Aa en Hunze                             ";"Buurt     ";"BU16800709          ";;;;;;;;;;;;;;;;
"80";"20300";"MW00000";"WK168008  ";"2020JJ00";"Aa en Hunze                             ";"Wijk      ";"WK168008            ";"81.1";"51.7";"45.8";"1.6";"41.9";"55.7";"15.7";"16.9";"33.2";"31.1";"4.5";"29.6";"6";;;
"83";"20300";"MW00000";"BU16800800";"2020JJ00";"Aa en Hunze                             ";"Buurt     ";"BU16800800          ";"80.5";"51";"44.8";"1.7";"40.9";"56.5";"16";"17.4";"34.1";"32";"4.7";"30.6";"6.3";;;
"86";"20300";"MW00000";"BU16800809";"2020JJ00";"Aa en Hunze                             ";"Buurt     ";"BU16800809          ";;;;;;;;;;;;;;;;
"89";"20300";"MW00000";"WK168009  ";"2020JJ00";"Aa en Hunze                             ";"Wijk      ";"WK168009            ";"82.5";"49.6";"44.9";"1.7";"44.5";"55";"14.2";"14.1";"32.2";"29.3";"3.5";"28";"5.7";;;
"92";"20300";"MW00000";"BU16800900";"2020JJ00";"Aa en Hunze                             ";"Buurt     ";"BU16800900          ";"82.4";"49.5";"44.5";"1.6";"44";"55.1";"14.3";"13.7";"32.6";"29.5";"3.6";"28.3";"5.9";;;
"95";"20300";"MW00000";"BU16800909";"2020JJ00";"Aa en Hunze                             ";"Buurt     ";"BU16800909          ";;;;;;;;;;;;;;;;
"98";"20300";"MW00000";"WK168011  ";"2020JJ00";"Aa en Hunze                             ";"Wijk      ";"WK168011            ";"80.3";"46.1";"43.7";"1.5";"43.1";"57";"17.5";"18";"33.6";"31";"5.1";"29.3";"7.3";;;
"101";"20300";"MW00000";"BU16801100";"2020JJ00";"Aa en Hunze                             ";"Buurt     ";"BU16801100          ";"80.3";"46.1";"43.8";"1.5";"43.1";"57.1";"17.6";"18.1";"33.6";"31";"5.2";"29.3";"7.4";;;
"104";"20300";"MW00000";"BU16801109";"2020JJ00";"Aa en Hunze                             ";"Buurt     ";"BU16801109          ";;;;;;;;;;;;;;;;
"107";"20300";"MW00000";"WK168012  ";"2020JJ00";"Aa en Hunze                             ";"Wijk      ";"WK168012            ";"78.4";"44.4";"38.7";"1.3";"36.9";"60.7";"21.4";"21.4";"35.8";"33.1";"5.5";"31.5";"9.3";;;
"110";"20300";"MW00000";"BU16801200";"2020JJ00";"Aa en Hunze                             ";"Buurt     ";"BU16801200          ";"78.5";"44.5";"38.8";"1.3";"36.9";"60.7";"21.4";"20.6";"36";"33.2";"5.5";"31.5";"9.3";;;
"113";"20300";"MW00000";"BU16801209";"2020JJ00";"Aa en Hunze                             ";"Buurt     ";"BU16801209          ";;;;;;;;;;;;;;;;
"116";"20300";"MW00000";"WK168013  ";"2020JJ00";"Aa en Hunze                             ";"Wijk      ";"WK168013            ";"82.7";"47.1";"45.8";"1.8";"42.5";"56.6";"14.8";"11.8";"32.8";"30.1";"3.5";"28.8";"7";;;
"119";"20300";"MW00000";"BU16801300";"2020JJ00";"Aa en Hunze                             ";"Buurt     ";"BU16801300          ";"81.5";"45.9";"44.5";"1.7";"40.9";"57.4";"15.7";"11.9";"34.9";"32.2";"3.7";"30.9";"7.9";;;
"122";"20300";"MW00000";"BU16801309";"2020JJ00";"Aa en Hunze                             ";"Buurt     ";"BU16801309          ";"86.1";"50.8";"50";"2";"47.5";"54";"11.9";"11.5";"26.4";"23.7";"2.7";"22.2";"4";;;
"125";"20300";"MW00000";"WK168014  ";"2020JJ00";"Aa en Hunze                             ";"Wijk      ";"WK168014            ";"78.3";"45.4";"42.4";"1.7";"43.6";"55.5";"16.2";"15.5";"35.6";"34.8";"5.4";"33";"10.2";;;
"128";"20300";"MW00000";"BU16801400";"2020JJ00";"Aa en Hunze                             ";"Buurt     ";"BU16801400          ";"78.3";"45.2";"42.7";"1.7";"43.4";"55.8";"16.3";"15.2";"35.4";"34.7";"5.3";"32.9";"10.7";;;
"131";"20300";"MW00000";"BU16801401";"2020JJ00";"Aa en Hunze                             ";"Buurt     ";"BU16801401          ";"81.6";"49.2";"47.5";"1.6";"47.8";"51.2";"13.4";"10.4";"33.5";"32";"4.1";"29.2";"7.1";;;
"134";"20300";"MW00000";"BU16801409";"2020JJ00";"Aa en Hunze                             ";"Buurt     ";"BU16801409          ";"76.1";"44.4";"37.6";"1.7";"42.5";"56.7";"17.3";"20.2";"38.3";"37.3";"7.2";"35.9";"8.9";;;
"137";"20300";"MW00000";"WK168015  ";"2020JJ00";"Aa en Hunze                             ";"Wijk      ";"WK168015            ";"77.1";"42.6";"39.5";"1.7";"39.1";"58.6";"20.3";"19.5";"35";"34.6";"6.7";"33.1";"11";;;
"140";"20300";"MW00000";"BU16801500";"2020JJ00";"Aa en Hunze                             ";"Buurt     ";"BU16801500          ";"76.9";"42.6";"39.5";"1.7";"39";"58.6";"20.3";"19.6";"35.2";"34.8";"6.8";"33.3";"11.2";;;
"143";"20300";"MW00000";"BU16801501";"2020JJ00";"Aa en Hunze                             ";"Buurt     ";"BU16801501          ";"83.1";"42.7";"39.6";"2";"40.3";"55.6";"17.7";"15.6";"28.4";"26.8";"3.4";"26";"6";;;
"146";"20300";"MW00000";"BU16801509";"2020JJ00";"Aa en Hunze                             ";"Buurt     ";"BU16801509          ";;;;;;;;;;;;;;;;
"149";"20300";"MW00000";"WK168016  ";"2020JJ00";"Aa en Hunze                             ";"Wijk      ";"WK168016            ";"78.8";"42.8";"36.3";"1.5";"39.3";"58.6";"18.5";"17.9";"35";"33.3";"6.5";"31.5";"8.7";;;
"152";"20300";"MW00000";"BU16801600";"2020JJ00";"Aa en Hunze                             ";"Buurt     ";"BU16801600          ";"78.4";"42.4";"36";"1.5";"39.2";"58.8";"18.8";"17.9";"35.5";"33.7";"6.7";"32";"8.9";;;
"155";"20300";"MW00000";"BU16801601";"2020JJ00";"Aa en Hunze                             ";"Buurt     ";"BU16801601          ";"83.5";"49.5";"39.8";"1.7";"41.5";"54.7";"14.7";"19.5";"28.5";"29.1";"3.9";"25.8";"6.1";;;
"158";"20300";"MW00000";"BU16801609";"2020JJ00";"Aa en Hunze                             ";"Buurt     ";"BU16801609          ";;;;;;;;;;;;;;;;
"161";"20300";"MW00000";"WK168017  ";"2020JJ00";"Aa en Hunze                             ";"Wijk      ";"WK168017            ";"79.5";"47.5";"45.3";"1.7";"43";"55.4";"16.3";"15.3";"34.1";"33.1";"5.1";"31.8";"9.9";;;
"164";"20300";"MW00000";"BU16801700";"2020JJ00";"Aa en Hunze                             ";"Buurt     ";"BU16801700          ";"79.4";"47.4";"45.2";"1.7";"42.9";"55.5";"16.4";"15.4";"34.2";"33.2";"5.1";"31.8";"10";;;
"167";"20300";"MW00000";"BU16801709";"2020JJ00";"Aa en Hunze                             ";"Buurt     ";"BU16801709          ";"83.2";"50.1";"46.2";"1.3";"47.2";"52.2";"12.8";"10.9";"32.6";"30.8";"4.5";"29.6";"6.1";;;
"170";"20300";"MW00000";"WK168018  ";"2020JJ00";"Aa en Hunze                             ";"Wijk      ";"WK168018            ";"81";"45";"42.6";"1.7";"40.8";"56.7";"17.7";"18.2";"31.9";"30.3";"4.6";"28.8";"8.1";;;
"173";"20300";"MW00000";"BU16801800";"2020JJ00";"Aa en Hunze                             ";"Buurt     ";"BU16801800          ";"80.3";"44.7";"42.2";"1.7";"40.3";"57.5";"18.5";"19.9";"32.2";"30.9";"4.9";"29.6";"9.2";;;
"176";"20300";"MW00000";"BU16801801";"2020JJ00";"Aa en Hunze                             ";"Buurt     ";"BU16801801          ";"85.4";"43.7";"45.5";"1.6";"42.1";"53.5";"14.7";"15.8";"26.8";"25.5";"2.7";"23.6";"4.5";;;
"179";"20300";"MW00000";"BU16801802";"2020JJ00";"Aa en Hunze                             ";"Buurt     ";"BU16801802          ";"80.2";"44.1";"41.5";"1.8";"40";"57.6";"19.3";"18.5";"32.9";"30.6";"4.8";"28.9";"7.9";;;
"182";"20300";"MW00000";"BU16801809";"2020JJ00";"Aa en Hunze                             ";"Buurt     ";"BU16801809          ";"81.6";"47.8";"43.7";"1.6";"42.7";"54.7";"14.9";"13.7";"32.6";"30.6";"4.3";"28.7";"7";;;
