"Gemeenten 2020","Gemeenten 2020 (gemnaam)","Gemeenten 2020 (Overgewicht)","Gemeenten 2020 (Bevolking)"
"Nederland","Nederland",50,8,17407585
"Appingedam","Appingedam",59,8,9235
"Delfzijl","Delfzijl",60,6,19793
"Groningen","Groningen",41,2,194351
"Loppersum","Loppersum",55,1,7555
"Almere","Almere",53,6,163039
"Stadskanaal","Stadskanaal",61,6,25506
"Veendam","Veendam",61,2,22033
"Zeewolde","Zeewolde",51,1,17729
"Achtkarspelen","Achtkarspelen",54,7,21706
"Ameland","Ameland",53,5,3029
"Harlingen","Harlingen",54,3,12619
"Heerenveen","Heerenveen",51,6,39941
"Leeuwarden","Leeuwarden",49,2,99355
"Ooststellingwerf","Ooststellingwerf",54,3,20152
"Opsterland","Opsterland",52,1,23208
"Schiermonnikoog","Schiermonnikoog",48,8,823
"Smallingerland","Smallingerland",53,6,43593
"Terschelling","Terschelling",51,4000
"Vlieland","Vlieland",43,7,1020
"Weststellingwerf","Weststellingwerf",54,1,20682
"Assen","Assen",53,9,53225
"Coevorden","Coevorden",56,9,28248
"Emmen","Emmen",58,6,86063
"Hoogeveen","Hoogeveen",55,3,43190
"Meppel","Meppel",53,4,26724
"Almelo","Almelo",57,4,57457
"Borne","Borne",52,8,18283
"Dalfsen","Dalfsen",51,22526
"Deventer","Deventer",52,4,79450
"Enschede","Enschede",52,1,127832
"Haaksbergen","Haaksbergen",53,5,19357
"Hardenberg","Hardenberg",55,4,46915
"Hellendoorn","Hellendoorn",55,8,28169
"Hengelo","Hengelo",54,1,65085
"Kampen","Kampen",52,6,40936
"Losser","Losser",58,4,17994
"Noordoostpolder","Noordoostpolder",53,35673
"Oldenzaal","Oldenzaal",54,6,25101
"Ommen","Ommen",52,7,14216
"Raalte","Raalte",52,5,29859
"Staphorst","Staphorst",49,2,12368
"Tubbergen","Tubbergen",51,9,16722
"Urk","Urk",49,5,13871
"Wierden","Wierden",53,8,19131
"Zwolle","Zwolle",49,3,100113
"Aalten","Aalten",54,4,21383
"Apeldoorn","Apeldoorn",52,2,129103
"Arnhem","Arnhem",49,7,128292
"Barneveld","Barneveld",49,8,43579
"Beuningen","Beuningen",52,5,21047
"Brummen","Brummen",54,3,16980
"Buren","Buren",52,9,21665
"Culemborg","Culemborg",51,4,22781
"Doesburg","Doesburg",56,2,9162
"Doetinchem","Doetinchem",55,45794
"Druten","Druten",55,2,14924
"Duiven","Duiven",53,9,20243
"Ede","Ede",50,4,90869
"Elburg","Elburg",53,17737
"Epe","Epe",53,4,26612
"Ermelo","Ermelo",51,6,20577
"Harderwijk","Harderwijk",53,1,37389
"Hattem","Hattem",51,7,9483
"Heerde","Heerde",53,2,14702
"Heumen","Heumen",48,5,13269
"Lochem","Lochem",52,3,27216
"Maasdriel","Maasdriel",53,20428
"Nijkerk","Nijkerk",49,8,33466
"Nijmegen","Nijmegen",44,4,145072
"Oldebroek","Oldebroek",52,8,18138
"Putten","Putten",51,9,18783
"Renkum","Renkum",50,3,24900
"Rheden","Rheden",53,35122
"Rozendaal","Rozendaal",43,8,1301
"Scherpenzeel","Scherpenzeel",51,7633
"Tiel","Tiel",55,7,33208
"Voorst","Voorst",51,8,19231
"Wageningen","Wageningen",41,5,32341
"Westervoort","Westervoort",55,5,12108
"Winterswijk","Winterswijk",54,2,23098
"Wijchen","Wijchen",52,1,32916
"Zaltbommel","Zaltbommel",52,5,22435
"Zevenaar","Zevenaar",55,3,35817
"Zutphen","Zutphen",53,3,37700
"Nunspeet","Nunspeet",52,21082
"Dronten","Dronten",52,8,32407
"Amersfoort","Amersfoort",46,6,120911
"Baarn","Baarn",47,6,19032
"De Bilt","De Bilt",44,5,33532
"Bunnik","Bunnik",44,8,11800
"Bunschoten","Bunschoten",49,3,16584
"Eemnes","Eemnes",48,3,7383
"Houten","Houten",47,38187
"Leusden","Leusden",47,3,23905
"Lopik","Lopik",50,1,11300
"Montfoort","Montfoort",49,3,10852
"Renswoude","Renswoude",49,6,4122
"Rhenen","Rhenen",51,5,15434
"Soest","Soest",48,37036
"Utrecht","Utrecht",39,4,283166
"Veenendaal","Veenendaal",52,4,51240
"Woudenberg","Woudenberg",48,2,10011
"Wijk bij Duurstede","Wijk bij Duurstede",50,9,18987
"IJsselstein","IJsselstein",51,8,26449
"Zeist","Zeist",45,6,49118
"Nieuwegein","Nieuwegein",52,5,51266
"Aalsmeer","Aalsmeer",48,3,24742
"Alkmaar","Alkmaar",48,6,88171
"Amstelveen","Amstelveen",44,4,71049
"Amsterdam","Amsterdam",41,4,711699
"Beemster","Beemster",48,2,7717
"Bergen (NH.)","Bergen (NH.)",45,3,24385
"Beverwijk","Beverwijk",54,8,33155
"Blaricum","Blaricum",45,8,9083
"Bloemendaal","Bloemendaal",41,2,17735
"Castricum","Castricum",44,4,29049
"Diemen","Diemen",43,6,25465
"Edam-Volendam","Edam-Volendam",49,28758
"Enkhuizen","Enkhuizen",52,4,14836
"Haarlem","Haarlem",45,2,128171
"Haarlemmermeer","Haarlemmermeer",50,122849
"Heemskerk","Heemskerk",52,8,31523
"Heemstede","Heemstede",43,6,20862
"Heerhugowaard","Heerhugowaard",50,6,44095
"Heiloo","Heiloo",43,3,19222
"Den Helder","Den Helder",57,5,44903
"Hilversum","Hilversum",45,8,71207
"Hoorn","Hoorn",52,2,58118
"Huizen","Huizen",50,3,32618
"Landsmeer","Landsmeer",48,5,9100
"Langedijk","Langedijk",48,6,22301
"Laren","Laren",43,7,8662
"Medemblik","Medemblik",51,4,35454
