"Regionale kerncijfers Nederland"
""
"";"";"Subject"
"";"";"Bevolking|Bevolkingssamenstelling op 1 januari|Totale bevolking";"Bevolking|Bevolkingssamenstelling op 1 januari|Bevolkingsdichtheid";"Verkeer en vervoer|Motorvoertuigen|Personenauto's, relatief";"Milieu en bodemgebruik|Bodemgebruik|Oppervlakte|Land";"Lokalisering|Koppelvariabele regio (code)"
"Regions";"Periods";"number";"number of inhabitants per km²";"per 1,000 inhabitants";"km²";"code"
"Aa and Hunze";"2020";"25445";"92";"576";"276.09";"GM1680"
"aalburg";"2020";"";"";"";"";""
"Aalsmeer";"2020";"31859";"1584";"532";"20.12";"GM0358"
"Aalten";"2020";"27121";"281";"527";"96.54";"GM0197"
"Too weird";"2020";"";"";"";"";""
"Aarle-Rixtel";"2020";"";"";"";"";""
"Abcoude";"2020";"";"";"";"";""
"Eight cart games";"2020";"27843";"272";"529";"102.23";"GM0059"
"Akersloot";"2020";"";"";"";"";""
"Alblasserdam";"2020";"20165";"2297";"454";"8.78";"GM0482"
"Albrandswaard";"2020";"25590";"1180";"496";"21.69";"GM0613"
"Alkemade";"2020";"";"";"";"";""
"Alkmaar";"2020";"109436";"991";"452";"110.46";"GM0361"
"Almelo";"2020";"73107";"1087";"473";"67.27";"GM0141"
"Almere";"2020";"211893";"1640";"1283";"129.19";"GM0034"
"Alphen aan den Rijn";"2020";"111897";"886";"477";"126.23";"GM0484"
"Alpha and Riel";"2020";"";"";"";"";""
"Alphen-Chaam";"2020";"10203";"110";"599";"93.04";"GM1723"
"Altena";"2020";"55967";"279";"527";"200.63";"GM1959"
"Office Delden";"2020";"";"";"";"";""
"Office Montfort";"2020";"";"";"";"";""
"Ameland";"2020";"3716";"63";"507";"59.11";"GM0060"
"Amerongen";"2020";"";"";"";"";""
"Amersfoort";"2020";"157276";"2512";"739";"62.62";"GM0307"
"Ambergris";"2020";"";"";"";"";""
"Amstelveen";"2020";"91675";"2229";"413";"41.13";"GM0362"
"Amsterdam";"2020";"872757";"5273";"269";"165.50";"GM0363"
"Andijk";"2020";"";"";"";"";""
"Angerlo";"2020";"";"";"";"";""
"Anloo";"2020";"";"";"";"";""
"Anna Paulowna";"2020";"";"";"";"";""
"Apeldoorn";"2020";"163818";"482";"503";"339.89";"GM0200"
"Appingedam";"2020";"11642";"490";"475";"23.78";"GM0003"
"Arcs and Fields";"2020";"";"";"";"";""
"Arnemuiden";"2020";"";"";"";"";""
"Arnhem";"2020";"161348";"1649";"406";"97.82";"GM0202"
"shafts";"2020";"68599";"838";"483";"81.89";"GM0106"
"Asten";"2020";"16721";"238";"537";"70.17";"GM0743"
"Averest";"2020";"";"";"";"";""
"Axel";"2020";"";"";"";"";""
"Baarle-Nassau";"2020";"6859";"90";"602";"76.14";"GM0744"
"Barn";"2020";"24868";"764";"493";"32.54";"GM0308"
"Bakel and Milheeze";"2020";"";"";"";"";""
"Barendrecht";"2020";"48714";"2467";"478";"19.75";"GM0489"
"Barneveld";"2020";"59082";"336";"491";"175.90";"GM0203"
"Bathing";"2020";"";"";"";"";""
