"ID";"Leeftijd";"Marges";"RegioS";"ErvarenGezondheidGoedZeerGoed_1";"EenOfMeerLichamelijkeBeperkingen_3";"BeperkingInBewegen_6";"Ondergewicht_7";"NormaalGewicht_8";"Overgewicht_9";"MatigOvergewicht_10";"ErnstigOvergewichtObesitas_11";"VoldoetAanBeweegrichtlijn_12";"WekelijksSporter_13";"Rokers_17";"OvermatigDrinker_20"
"17";"10000";"MW00000";"GM1680";"    83.1";"    13.8";"     8.2";"     0.7";"    50.1";"    49.2";"    34.3";"    14.9";"    47.3";"    48.3";"    14.3";"     5.4"
"18";"10000";"MW00000";"GM0358";"    82.7";"    10.2";"     5.8";"     1.2";"    50.3";"    48.5";"    36.4";"    12.1";"    48.1";"    58.8";"    13.0";"     5.0"
"19";"10000";"MW00000";"GM0197";"    79.1";"    15.1";"     8.3";"     1.4";"    49.2";"    49.4";"    33.8";"    15.6";"    56.2";"    51.5";"    14.7";"     6.6"
"20";"10000";"MW00000";"GM0059";"    79.1";"    16.0";"    11.4";"     0.8";"    42.6";"    56.6";"    40.0";"    16.6";"    48.7";"    40.7";"    19.8";"     7.9"
"21";"10000";"MW00000";"GM0482";"    77.0";"    17.1";"    11.5";"     2.0";"    41.7";"    56.3";"    38.8";"    17.5";"    42.9";"    40.0";"    14.9";"     5.2"
"22";"10000";"MW00000";"GM0613";"    80.6";"    11.9";"     6.2";"     1.8";"    43.9";"    54.3";"    40.0";"    14.4";"    46.7";"    57.3";"    12.0";"     3.5"
"23";"10000";"MW00000";"GM0361";"    79.4";"    12.8";"     8.0";"     2.3";"    50.2";"    47.4";"    33.2";"    14.3";"    57.0";"    54.1";"    15.7";"     6.8"
"24";"10000";"MW00000";"GM0141";"    77.1";"    20.2";"    12.9";"     1.7";"    42.1";"    56.3";"    37.8";"    18.5";"    49.1";"    41.3";"    21.8";"     6.8"
"25";"10000";"MW00000";"GM0034";"    76.4";"    13.6";"     8.0";"     2.2";"    43.3";"    54.5";"    39.6";"    14.8";"    43.4";"    47.1";"    16.3";"     4.0"
"26";"10000";"MW00000";"GM0484";"    80.1";"    12.6";"     7.1";"     1.3";"    48.3";"    50.4";"    36.5";"    13.9";"    48.6";"    49.6";"    16.0";"     6.3"
"27";"10000";"MW00000";"GM1723";"    82.5";"    10.9";"     5.4";"     1.6";"    50.4";"    48.1";"    37.1";"    11.0";"    50.7";"    50.6";"     9.7";"     8.9"
"28";"10000";"MW00000";"GM1959";"    81.1";"    11.5";"     6.7";"     2.4";"    42.7";"    54.8";"    39.0";"    15.8";"    44.6";"    44.3";"    14.3";"     4.9"
"29";"10000";"MW00000";"GM0060";"    81.9";"    13.1";"     7.2";"     2.8";"    43.6";"    53.6";"    42.9";"    10.7";"    64.2";"    38.5";"    16.9";"     6.9"
