"ID";"RegioS";"Perioden";"AfstandTotHuisartsenpraktijk_1";"Binnen5Km_4";"AfstandTotGroteSupermarkt_20";"Binnen5Km_23";"AfstandTotWarenhuis_28";"Binnen20Km_31";"AfstandTotCafeED_32";"Binnen5Km_35";"AfstandTotCafetariaED_36";"Binnen5Km_39";"AfstandTotRestaurant_40";"Binnen5Km_43";"AfstandTotOpenbaarGroenTotaal_87";"AfstandTotBos_90";"AfstandTotSemiOpenbaarGroenTotaal_94";"AfstandTotSportterrein_95";"AfstandTotOpritHoofdverkeersweg_100";"AfstandTotTreinstationsTotaal_101";"AfstandTotBelangrijkOverstapstation_102"
"926";"GM1680";"2020JJ00";"     2.4";"     2.0";"     2.1";"     2.8";"     5.2";"     7.6";"     3.3";"     1.8";"     2.4";"     3.7";"     1.0";"    10.6";"       .";"       .";"       .";"       .";"     1.6";"    12.5";"    28.6"
"942";"GM0738";"2020JJ00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"958";"GM0358";"2020JJ00";"     0.9";"     8.9";"     0.8";"    10.3";"     3.3";"    34.1";"     1.7";"     5.3";"     0.7";"    18.6";"     0.6";"    36.0";"       .";"       .";"       .";"       .";"     1.1";"     8.1";"     8.9"
"974";"GM0197";"2020JJ00";"     1.5";"     3.2";"     1.4";"     3.2";"     1.7";"     7.5";"     1.2";"     2.7";"     1.1";"     6.5";"     0.9";"    11.6";"       .";"       .";"       .";"       .";"     1.0";"     4.4";"    41.0"
"990";"GM0480";"2020JJ00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1006";"GM0305";"2020JJ00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1022";"GM0059";"2020JJ00";"     1.6";"     3.1";"     1.5";"     4.9";"     4.7";"     5.7";"     1.8";"     6.2";"     1.0";"     7.5";"     1.3";"     6.0";"       .";"       .";"       .";"       .";"     1.3";"     7.3";"    26.8"
"1038";"GM0482";"2020JJ00";"     0.8";"     6.5";"     0.6";"     7.2";"     1.3";"    32.4";"     0.8";"     7.9";"     0.5";"    17.0";"     0.6";"    17.5";"       .";"       .";"       .";"       .";"     2.3";"     8.5";"    11.2"
"1054";"GM0613";"2020JJ00";"     0.9";"    13.2";"     0.9";"    16.3";"     1.8";"    37.3";"     1.2";"    12.7";"     0.8";"    34.1";"     0.9";"    30.9";"       .";"       .";"       .";"       .";"     1.6";"     8.9";"    10.6"
"1070";"GM0483";"2020JJ00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1086";"GM0361";"2020JJ00";"     1.0";"    17.6";"     0.8";"    20.6";"     2.3";"    15.9";"     1.2";"    41.9";"     0.8";"    82.4";"     0.8";"    90.8";"       .";"       .";"       .";"       .";"     1.1";"     3.0";"     3.9"
"1102";"GM0141";"2020JJ00";"     1.0";"    15.3";"     0.8";"    19.8";"     2.2";"    13.7";"     1.3";"    18.0";"     0.6";"    54.1";"     0.9";"    49.1";"       .";"       .";"       .";"       .";"     2.4";"     2.2";"     2.6"
"1118";"GM0034";"2020JJ00";"     1.0";"    11.0";"     0.8";"    19.7";"     2.7";"     8.1";"     1.7";"    17.7";"     0.7";"    59.2";"     0.8";"    66.3";"       .";"       .";"       .";"       .";"     1.5";"     2.0";"     4.6"
"1134";"GM0484";"2020JJ00";"     0.9";"     9.5";"     0.9";"    12.5";"     3.3";"    22.3";"     1.3";"    14.0";"     0.9";"    35.0";"     0.7";"    51.0";"       .";"       .";"       .";"       .";"     1.7";"     3.2";"    14.2"
"1150";"GM1723";"2020JJ00";"     1.6";"     1.5";"     1.5";"     1.8";"     7.1";"    14.6";"     1.0";"     3.2";"     1.3";"     5.0";"     0.9";"     9.1";"       .";"       .";"       .";"       .";"     1.1";"    12.6";"    12.9"
"1166";"GM1959";"2020JJ00";"     1.0";"     2.3";"     1.0";"     3.1";"     5.2";"     7.8";"     1.6";"     3.5";"     1.2";"     5.9";"     1.3";"     6.0";"       .";"       .";"       .";"       .";"     2.0";"    12.9";"    25.8"
"1182";"GM1679";"2020JJ00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1198";"GM0060";"2020JJ00";"     2.2";"     1.0";"     0.4";"     3.1";"    29.0";"     0.0";"     4.6";"     1.6";"     0.4";"     7.7";"     0.3";"    18.4";"       .";"       .";"       .";"       .";"    19.1";"    39.6";"    45.2"
"1214";"GM0307";"2020JJ00";"     0.8";"    15.6";"     0.7";"    29.7";"     1.8";"    24.0";"     1.1";"    36.5";"     0.6";"    83.8";"     0.5";"   116.9";"       .";"       .";"       .";"       .";"     1.6";"     2.6";"     4.5"
