Code,ExperiencedHealthGoodVeryGood,OneOrMorePhysicalLimitations,LimitationInMovement,Underweight,NormalWeight,Overweight,SatisfiesPhysicalActivityGuidelines,WeeklySportsParticipant,Smokers,ExcessiveDrinker,DistanceToGP,GPWithin5Km,DistanceToLargeSupermarket,SMWithin5Km,DistanceToDepartmentStore,DSWithin20Km,DistanceToCafe,CafeWithin5Km_35,DistanceToSnackBar,SBWithin5Km,DistanceToRestaurant,RestWithin5Km,DistanceToAccessMainRoad,DistanceToTrainStationsTotal,DistanceToImportantTransferStation,Gemeentenaam,ProvinciecodePV,Provincienaam,Population,DensityPerKM,CarsPer1000
GM1680,83.1,13.8,8.2,0.7,50.1,49.2,47.3,48.3,14.3,5.4,2.4,2.0,2.1,2.8,5.2,7.6,3.3,1.8,2.4,3.7,1.0,10.6,1.6,12.5,28.6,Aa en Hunze,PV22,Drenthe,25445.0,92.0,576.0
GM0358,82.7,10.2,5.8,1.2,50.3,48.5,48.1,58.8,13.0,5.0,0.9,8.9,0.8,10.3,3.3,34.1,1.7,5.3,0.7,18.6,0.6,36.0,1.1,8.1,8.9,Aalsmeer,PV27,Noord-Holland,31859.0,1584.0,532.0
GM0197,79.1,15.1,8.3,1.4,49.2,49.4,56.2,51.5,14.7,6.6,1.5,3.2,1.4,3.2,1.7,7.5,1.2,2.7,1.1,6.5,0.9,11.6,1.0,4.4,41.0,Aalten,PV25,Gelderland,27121.0,281.0,527.0
GM0059,79.1,16.0,11.4,0.8,42.6,56.6,48.7,40.7,19.8,7.9,1.6,3.1,1.5,4.9,4.7,5.7,1.8,6.2,1.0,7.5,1.3,6.0,1.3,7.3,26.8,Achtkarspelen,PV21,Friesland,27843.0,272.0,529.0
GM0482,77.0,17.1,11.5,2.0,41.7,56.3,42.9,40.0,14.9,5.2,0.8,6.5,0.6,7.2,1.3,32.4,0.8,7.9,0.5,17.0,0.6,17.5,2.3,8.5,11.2,Alblasserdam,PV28,Zuid-Holland,20165.0,2297.0,454.0
GM0613,80.6,11.9,6.2,1.8,43.9,54.3,46.7,57.3,12.0,3.5,0.9,13.2,0.9,16.3,1.8,37.3,1.2,12.7,0.8,34.1,0.9,30.9,1.6,8.9,10.6,Albrandswaard,PV28,Zuid-Holland,25590.0,1180.0,496.0
GM0361,79.4,12.8,8.0,2.3,50.2,47.4,57.0,54.1,15.7,6.8,1.0,17.6,0.8,20.6,2.3,15.9,1.2,41.9,0.8,82.4,0.8,90.8,1.1,3.0,3.9,Alkmaar,PV27,Noord-Holland,109436.0,991.0,452.0
GM0141,77.1,20.2,12.9,1.7,42.1,56.3,49.1,41.3,21.8,6.8,1.0,15.3,0.8,19.8,2.2,13.7,1.3,18.0,0.6,54.1,0.9,49.1,2.4,2.2,2.6,Almelo,PV23,Overijssel,73107.0,1087.0,473.0
GM0034,76.4,13.6,8.0,2.2,43.3,54.5,43.4,47.1,16.3,4.0,1.0,11.0,0.8,19.7,2.7,8.1,1.7,17.7,0.7,59.2,0.8,66.3,1.5,2.0,4.6,Almere,PV24,Flevoland,211893.0,1640.0,1283.0
GM0484,80.1,12.6,7.1,1.3,48.3,50.4,48.6,49.6,16.0,6.3,0.9,9.5,0.9,12.5,3.3,22.3,1.3,14.0,0.9,35.0,0.7,51.0,1.7,3.2,14.2,Alphen aan den Rijn,PV28,Zuid-Holland,111897.0,886.0,477.0
